,Sample,Protein Concentration (mg/mL),Sample Volume (mL),Diluent Volume (mL)
0,Sample 9,6.100322833308447,0.08196287535307867,0.41803712464692133
1,Sample 10,4.282836193106975,0.11674506739359461,0.3832549326064054
2,Sample 11,6.453634596990344,0.07747572201146548,0.42252427798853454
3,Sample 12,5.4541760943226345,0.09167287439077378,0.40832712560922624
4,Sample 13,4.712539689476852,0.10609990216453878,0.3939000978354612
5,Sample 14,3.3438544788172493,0.14952803812708212,0.35047196187291785
6,Sample 15,5.925258445898498,0.08438450483895824,0.4156154951610418
7,Sample 16,5.979369256552483,0.08362086008521312,0.41637913991478687
8,Sample 17,5.234549862844698,0.0955191970849384,0.4044808029150616
9,Sample 18,3.3884163228852366,0.14756156043252971,0.3524384395674703
